---,Word,Tags
0,"Cleanly","(""clean"")"
1,"Clever","(""clever"")"
2,"Compassionate","(""friendly"")"
3,"Dedicated","(""organized"")"
4,"Devoted","(""organized"")"
5,"Eccentric","(""weirdo"",""hasty"")"
6,"Expertly-Dressed","(""clean"",""wealthy"")"
7,"Fast","(""athletic"",""hasty"")"
8,"Honest","(""straightforward"")"
9,"Kind-Hearted","(""friendly"")"
10,"Knowledgeable","(""clever"")"
11,"Level headed","(""straightforward"",""stoic"")"
12,"Personable","(""friendly"")"
13,"Powerful","(""powerful"")"
14,"Quick-Witted","(""clever"",""hasty"")"
15,"Reasonable","(""friendly"",""straightforward"")"
16,"Reliable","(""organized"",""straightforward"")"
17,"Resourceful","(""clever"")"
18,"Sweet","(""friendly"")"
19,"Talented","(""powerful"")"
20,"Thoughtful","(""friendly"",""clever"")"
21,"Well-Dressed","(""clean"")"
22,"Wily","(""clever"")"
23,"Wise","(""clever"")"
24,"Worldly","(""friendly"",""powerful"")"
