---,Word,Tags
0,"Clumsy","(""clumsy"")"
1,"Confused","(""foolish"")"
2,"Crude","(""hasty"", ""clumsy"")"
3,"Crusty","(""dirty"")"
4,"Dirty","(""dirty"")"
5,"Drunken","(""drunk"")"
6,"Dumb","(""foolish"")"
7,"Evil","(""cruel"")"
8,"Filthy","(""dirty"")"
9,"Foolish","(""foolish"")"
10,"Foul","(""dirty"")"
11,"Fowl","()"
12,"Greasy","(""dirty"")"
13,"Greedy","(""greedy"")"
14,"Ill-tempered","(""cruel"")"
15,"Leering","()"
16,"Miserly","(""greedy"")"
17,"Mustache twirling","(""sneaky"", ""greedy"")"
18,"Ornery","(""hasty"")"
19,"Slimy","(""dirty"")"
20,"Slow","(""clumsy"")"
21,"Smelly","(""dirty"")"
22,"Snobbish","(""greedy"")"
23,"Terrible","(""cruel"", ""hasty"")"
24,"Vengeful","(""cruel"")"
25,"Viscious","(""cruel"")"
26,"Wannabe","(""unskilled"", ""greedy"")"
27,"Weak","(""weak"")"
