---,Word,Tags
0,"Giggly","(""whimsical"")"
1,"Gray","(""stoic"")"
2,"Gregarious","(""friendly"")"
3,"Happy","(""friendly"")"
4,"Inquisitive","(""clever"")"
5,"Little","(""small"")"
6,"Lost","(""foolish"")"
7,"Loyal","(""organized"")"
8,"Middle-Aged","(""clumsy"")"
9,"Optimistic","(""friendly"")"
10,"Orange","()"
11,"Ordinary","(""unskilled"")"
12,"Remorseful","()"
13,"Sad","()"
14,"Sagely","(""clever"")"
15,"Shameful","()"
16,"Silly","(""whimsical"")"
17,"Striped","(""whimsical"")"
18,"Teeny-Tiny","(""small"")"
