---,Word,Tags
0,"Assassins","(""criminal"", ""sneaky"")"
1,"Bandits","(""criminal"", ""desparate"", ""warrior"", ""hasty"")"
2,"Graverobbers","(""criminal"", ""greedy"")"
3,"Ruffians","(""criminal"", ""warrior"")"
4,"Scoundrels","(""criminal"", ""straightforward"", ""greedy"")"
5,"Thugs","(""criminal"", ""warrior"")"
6,"Braggarts","(""criminal"", ""showy"")"
7,"Gladiators","(""criminal"", ""showy"", ""warrior"")"
8,"Horse Jockeys","(""professional"", ""naturist"")"
9,"Knaves","(""criminal"", ""foolish"")"
10,"Tax Collectors","(""professional"", ""greedy"")"
11,"Trespassers","(""criminal"", ""sneaky"")"
12,"Vagabonds","(""desparate"", ""nomadic"")"
13,"Veterans","(""professional"", ""warrior"", ""organized"")"
14,"Warriors","(""warrior"")"
15,"Made Men","(""criminal"", ""stoic"", ""organized"")"
16,"Thieves","(""criminal"", ""greedy"", ""sneaky"")"
