---,Word,Tags
0,"Athletes","(""athletic"")"
1,"Boys","(""male"")"
2,"Frat Bros","(""male"", ""loud"", ""organized"")"
3,"Friends","(""friendly"")"
4,"Gentlefolk","(""wealthy"", ""friendly"")"
5,"Gentlemen","(""wealthy"", ""male"", ""friendly"")"
6,"Girls","(""female"")"
7,"Guys","(""male"")"
8,"Ladies","(""wealthy"", ""noble"", ""female"")"
9,"Lads","(""male"")"
10,"Lollygaggers","(""clumsy"")"
11,"Monks","(""religious"")"
12,"Nobodies","(""unskilled"")"
13,"Nuns","(""religious"")"
14,"Passersby","(""disorganized"")"
15,"People","(""unskilled"", ""disorganized"")"
16,"Pianists","(""whimsical"")"
17,"Raggamuffins","(""desparate"", ""small"")"
18,"Sages","(""clever"")"
19,"Scholars","(""clever"")"
20,"Scribes","(""clever"")"
21,"Strangers","(""unskilled"", ""stealthy"", ""disorganized"")"
22,"Teetotalers","(""sober"")"
23,"Tree Huggers","(""naturist"", ""organized"")"
24,"Wannabes","(""unskilled"", ""desperate"")"
