---,Word,Tags
0,"Actors","(""professional"")"
1,"Animators","(""professional"")"
2,"Archeologists","(""professional"", ""clever"")"
3,"Authors","(""professional"", ""clever"")"
4,"Baroque Guitarists","(""professional"", ""whimsical"")"
5,"Civil Engineers","(""professional"", ""clever"")"
6,"Cowboys","(""professional"")"
7,"Debators","(""professional"", ""clever"")"
8,"Dockworkers","(""professional"", ""strong"")"
9,"Figure Skaters","(""professional"", ""athletic"")"
10,"Florists","(""professional"")"
11,"Garbage Collectors","(""professional"", ""dirty"")"
12,"Interns","(""professional"", ""desperate"")"
13,"Janitors","(""professional"", ""desperate"", ""dirty"")"
14,"Knights","(""professional"", ""noble"", ""warrior"")"
15,"Olympians","(""professional"", ""athletic"")"
16,"Pole jumpers","(""professional"", ""athletic"")"
17,"Professionals","(""professional"", ""powerful"")"
18,"Programmers","(""professional"", ""clever"")"
19,"Teachers","(""professional"", ""clever"")"
20,"Zoologists","(""professional"", ""clever"")"
