---,Word,Tags
0,"Aliens","(""weirdo"")"
1,"Bishops","(""weirdo"", ""religious"")"
2,"Cavemen","(""weirdo"", ""subterranean"")"
3,"Clowns","(""weirdo"", ""whimsical"")"
4,"Devotees","(""weirdo"", ""religious"")"
5,"Freaks","(""weirdo"")"
6,"Ghosts","(""unskilled"", ""undead"", ""incorporeal"")"
7,"Ghouls","(""monster"", ""undead"")"
8,"Gods","(""weirdo"", ""religious"")"
9,"Juggalos","(""weirdo"", ""disorganized"", ""whimsical"", ""warrior"", ""criminal"")"
10,"Magicians","(""weirdo"", ""whimsical"", ""magical"")"
11,"Mimes","(""weirdo"", ""whimsical"")"
12,"Noodles","(""weirdo"", ""small"")"
13,"Warlocks","(""weirdo"", ""criminal"", ""magical"")"
14,"Weirdos","(""weirdo"")"
15,"Witches","(""weirdo"", ""magical"")"
16,"Wizards","(""weirdo"", ""magical"")"
17,"Wolf-Men","(""weirdo"", ""furry"")"
