,Adjective,Noun
Negative00,Clumsy,Animators
Negative01,Crude,Assassins
Negative02,Crusty,Badgers
Negative03,Dirty,Bandits
Negative04,Dumb,Clowns
Negative05,Evil,Freaks
Negative06,Filthy,Ghouls
Negative07,Foolish,Graverobbers
Negative08,Foul,Juggalos
Negative09,Giggly,Knaves
Negative10,Greasy,Lads
Negative11,Greedy,Landlords
Negative12,Ill-tempered,Mimes
Negative13,Miserly,Monsters
Negative14,Ornery,Ruffians
Negative15,Remorseful,Scoundrels
Negative16,Sad,Tax Collectors
Negative17,Shameful,Thugs
Negative18,Slimy ,Vagabonds
Negative19,Slow,Vultures
Negative20,Smelly,Warlocks
Negative21,Snobbish,Wizards
Negative22,Terrible,Frat Bros
Negative23,Weak,Karens
Negative24,Leering ,Nobodies
Negative25,Drunken,Wannabes
Negative26,Fuckin',Morlocks
Negative27,Viscious,Koalas
Negative28,Mustache twirling ,Braggarts
Negative29,Wannabe,
