,Adjective,Noun
Neutral00,Confused,Aliens
Neutral01,Dancing,Athletes 
Neutral02,Dedicated,Baroque Guitarists
Neutral03,Fowl,Biologist Taunters
Neutral04,Gray,Boys
Neutral05,Jumping,Cowboys
Neutral06,Lost,Devotees
Neutral07,Orange,Florists 
Neutral08,Ordinary,Ghosts
Neutral09,Striped,Girls
Neutral10,Wandering,Lollygaggers
Neutral11,Wondering,Passersby
Neutral12,Wriggling,People
Neutral13,Little,Pianists
Neutral14,Middle-Aged,Professionals 
Neutral15,Teeny-Tiny,Raggamuffins
Neutral16,,Strangers 
Neutral17,,Teachers
Neutral18,,Teetotalers
Neutral19,,Tree huggers
Neutral20,,Veterans
Neutral21,,Warriors
Neutral22,,Guys
Neutral23,,Gladiators
Neutral24,,Gods
Neutral25,,Rats
Neutral26,,Worms
Neutral27,,Authors
Neutral28,,Princesses 
Neutral29,,Bishops
Neutral30,,Cavemen 
Neutral31,,Werewolves 
Neutral32,,Trespassers 
Neutral33,,Figure skaters 
Neutral34,,Olympians  
Neutral35,,Pole jumpers
Neutral36,,Magicians 
Neutral37,,Physics 
Neutral38,,Actors 
Neutral39,,Horses
Neutral40,,Noodles 
Neutral41,,Debators
